E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI,實體風險
連續3年榮獲「TCSA 台灣企業永續獎 - 氣候領袖獎」,2024年碳中和總部大樓,溫室氣體減量管理法或碳定價,20,B,No Data,BBB,極端氣候
連續3年獲頒「綠色採購感謝狀」,2030年自身營運管理達碳中和,消費者行為改變,18,,,,升溫造成海平面上升
連續4年獲頒「民間與團體綠色採購計畫」,2045年全資產組合淨零碳排,氣候變遷實際作為的名譽影響,16,,,,
綠色採購金額 1.8 億元,,開發環保技術失敗的資金虧損,15,,,,
新總部大樓完成雨水回收設備建置,,,14,,,,
,,,13,,,,
,,,12,,,,
