E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI
廢棄物轉化率99.5%,2030達成碳中和,原物料成本增加,20,F(2021)/B(2022),1.5°C,AA
SBT 碳密集度（CI）下降71%(相較2014年),落實 TCFD,再生能源法規,18,,,
全球綠建築廠辦節電16.34百萬度,2030再生電力100%,極端天氣事件增加,16,,,
 建築物 EUI下降5.8%(相較2020年),2025廢棄物轉化率100%,降雨型態改變與天氣型態變動劇烈,15,,,
廠區 WPI下降8.2%(相較 2020 年),2025廠區用水密集度及建築物用水強度10%,,14,,,
,,,13,,,
,,,12,,,
