E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI
連續10年參與 CDP，獲評為領導等級,2050年淨零碳排放,碳稅造成成本上升,20,B,No Data,A
六度DJSI評比入選環境報告氣候策略產業最高分,2030年空中廢棄物總量較 2018 年減量 65%,能源轉換造成成本上升,18,,,
八度獲頒TCSA氣候領袖獎,2030年地面一般生活廢棄物較 2018 年減量 12%,利害關係者關注議題,16,,,
添加永續航空燃油,2030年事業廢棄物回收再利用率 50%,航道因海平面上升消失,15,,,
建立環境、能源、溫室氣體盤查管理系統,2030年地面用水量較 2018 年減量 10%,淹水,14,,,
,2030年空中服務一次性使用塑膠用品全數淘汰,乾旱,13,,,
,,極端天氣,12,,,
