E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI,實體風險
氣候變遷問卷及水安全問卷均取得管理等級,每年較前一年度降低排碳量4.2%，於2030年完成50%減碳量為中級目標，逐步達成2050達成RE100及淨零排放的終極目標,無永續措施以致失去用戶獲投資人青睞,20,B-,No Data,A,豪雨洪災
"使用綠色電力168,690,543度，為集團用電的42.6%，減少溫室氣體排放144,201,147.032 KgCO2e",,法規改變使營運成本上升,18,,,,缺水
參與客戶「廢3C回收活動」,,電價調漲,16,,,,海平面上升
響應SDGs14 海洋生態目標，62位同仁參與企業聯合淨灘行動,,智慧製程及低碳發展,15,,,,
,,,14,,,,
,,,13,,,,
,,,12,,,,
