E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI
連續六年通過科學減量目標, 2050 年生產製造據點達到淨零排放,再生能源法規,20,A-,Well-below 2°C,A
"316 件減碳方案減少718,124 tCO2e",2030 再生能源或憑證使用量占總用電量 42%,自願性協議,18,,,
24% 總用電量來自再生能源或取得憑證, 2030年有害廢棄物密集度較 2015 年減少 15%,碳稅,16,,,
 28 張綠建築認證與12棟綠色工廠,2030年取水密集度較 2015年減少 15%,強制性水效率、節水、再循環或製程標準,15,,,
,,低衝擊技術與產品,14,,,
,,發生乾旱,13,,,
,,,12,,,
