E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI
LEED 綠建築認證面積全球半導體業第一、全台第一,2050年淨零排放,溫室氣體總量管制與碳稅、碳費,20,B,No Data,AAA
獲 UL 2799 廢棄物零掩埋最高等級鉑金認證,2016至2030新增節能措施累積節電總量 50 億度,淨零排放與減碳技術發展的不確定性,18,,,
揮發性有機氣體削減率 98.4%,2050 年再生水替代率 60% 以上,環評承諾,16,,,
單位產品用水量削減 14.9%（2010 年基準年）,2030年單位產品空氣汙染物排放量降低 60%（2015年為基準年），揮發性有機氣體削減率>99%,企業聲譽衝擊,15,,,
,,天災保險費增加,14,,,
,,水災旱災,13,,,
,,氣溫上升,12,,,
