E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI,實體風險
"減少溫室氣體排放量17,794.60噸CO2e",每公噸產品降低溫室氣體排放3%,法規政策,20,D-(2022),No Data,BB,強降雨導致積淹水
"減少57,265噸用水量",,客戶行為改變,18,,,,乾旱增加成本
啟用太陽能光電系統,,溫室氣體總量管制及排放交易,16,,,,災害事故導致營收損失
,,,15,,,,
,,,14,,,,
,,,13,,,,
,,,12,,,,
