E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI
各總廠年度平均節電率均皆大於 1%,2050 淨零排放,氣候相關政策,20,F,No Data,BB
投入 430.27 百萬元於環境保護相關事項,至2024年各總廠年度平均節電率皆 >1%,原物料管理成本增加,18,,,
2021 年綠色採購共計 11.87 億元,廢棄物資源回收率在 95.0% 以上,永續產品成本增加,16,,,
榮獲 2021 年 TCSA「 企業永續報告獎 」銅獎,,環保評價影響聲譽,15,,,
,,颱風 ,14,,,
,,洪水,13,,,
,,乾旱,12,,,
