E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI,實體風險
"再生能源 1,700 萬度電節省 117 萬度電",2025 年廢棄物量減少 25%,增加溫室氣體排放定價、碳交易成本,20,B,No Data,BBB,氣溫上升
2021 年廢棄物量較 2014 年減少 13.87%,廠區盤點及汰換高能耗設備,資通訊產品被低碳先進技術所替代,18,,,,洪水
,持續提升再生能源比例 2030 年達 69%,國際間再生能源需求增加,16,,,,海平面上升
,加強價值鏈合作關係,,15,,,,
,,,14,,,,
,,,13,,,,
,,,12,,,,
