E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI,實體風險
太陽能建置規模達2.25MW,2025年CO2排放零成長,碳稅,20,C,No Data,BB,極端氣候
生質酒精提煉EVA鞋量產,2030年範疇一、二絕對放量下降46.2%,客戶需求改變,18,,,,海平面上升
物料MRSL要求及抽檢,,環保商譽問題,16,,,,平均氣溫上升
,,,15,,,,乾旱
,,,14,,,,
,,,13,,,,
,,,12,,,,
