E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI
宣布加入RE100倡議,2030年達到相較於2019年減碳50%的成果,溫室氣體排放成本與規範增加,20,A-,No Data,AAA
55%關鍵供應商承諾RE100或以科學為基礎的減碳目標,於2035年達成再生能源使用達100%,原物料成本增加,18,,,
1500萬台核心產品使用消費後再生塑膠料,個人電腦平均能源消耗降45%,低碳科技轉型之成本支出,16,,,
再生能源使率達45%,,現有產品與服務的低碳替代品,15,,,
,,新科技投資失敗,14,,,
,,利害關係人負面回饋增加,13,,,
,,極端天氣事件增加(暴雨、颱風、極低溫),12,,,
