E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI
2021年總用電量較前一年減少7%,,,20,No Data,No Data,No Data
2021年總總碳排放較前一年減約11%,,,18,,,
無有害事業廢棄物,要求新合作之供應商簽署企業社會責任承諾書,,16,,,
合作供應商無對環境及社會造成負面影響,提供供應商自評表予供應商進行自評,,15,,,
,不定期進行供應商年度評鑑,,14,,,
,要求供應商遵循從業道德規範與行為準則要求,,13,,,
,,,12,,,
