E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI,實體風險
取得ISO 14001環境管理系統認證,,持續與台南市政府教育局簽署合作備忘錄，進行運算思維推廣專案,20,F(2021)D(2022),No Data,BB,
取得SONY GP(Green Partner)綠色夥伴認證,,過健康職場認證-健康促進標章。,18,,,,
台南市績優綠色採購企業,,擔任可成安衛家族之核心企業,16,,,,
,,,15,,,,
,,,14,,,,
,,,13,,,,
,,,12,,,,
