E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI,實體風險
2030 年全集團營運據點淨零排放,2050 年整體集團達成淨零排放目標,全球氣溫上升、能源價格上升,20,F(2021)/D-(2022),No Data,A,暴雨造成倉庫淹水
倉儲廢棄物相對前一年減量29.9%,辦公區域每年節電 1%、節水 1%,,18,,,,因氣候因素導致大範圍區域運輸中斷
與 Intel 共同打造聚合商推廣模式，關注節能減碳技術,,,16,,,,夏季氣溫日益升高
,,,15,,,,
,,,14,,,,
,,,13,,,,
,,,12,,,,
