E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI
"展開節能改造減碳 320,925tCO2e",2050淨零碳排,市場訊息不確定,20,F(2021)/B(2022),1.5°C,B
節能率達5.56%,2030綠電佔比>50%,能源法規限制,18,,,
推動98家供應商完成碳盤查,2025廠區工業污水排放水質監測系統建置率100%,利害關係人關注與反饋增加,16,,,
推動供應商使用再生能源與廢棄物零埋認證,2025用水密集度下降 6%,乾旱,15,,,
,廠區塑料內循環比例>60%,颱風、洪水等極端天氣,14,,,
,,平均氣溫上升,13,,,
,,,12,,,
