E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI,實體風險
CDP氣候變遷評比A-,2030年低碳轉型目標碳中和目標,碳價,20,A-,No Data,A,極端高溫增加工安風險
再生能源使用量52.79%,2030年廢棄物產生密度減少 20% 等目標,低碳產品與服務的需求,18,,,,乾旱
"六大節電項目節省用電總量-2,126萬度",,再生能源與氣候風險法規發展,16,,,,短延時強降水
零排汙洩漏及零環保投訴,,新技術投資,15,,,,
,,,14,,,,
,,,13,,,,
,,,12,,,,
