E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI,實體風險
近三年永續相關作為總金額 > 57.7 億元,,溫室氣體排放定價,20,No Data,No Data,No Data,颱風
設置全台首座零燃煤 SRF,,客戶行為轉變,18,,,,洪水
榮獲 2022 第 18 屆《遠見》 CSR 暨 ESG 企業社會責任獎,,產業負面回饋日益增加,16,,,,
發行台灣首檔綠色金融聯貸,,氣候極端變化,15,,,,
,,,14,,,,
,,,13,,,,
,,,12,,,,
