E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI,實體風險
製程廢水零排放,2050年淨零排放,溫室氣體相關法規導致排放成本增加,20,B,1.5°C,A,乾旱
"太陽能發電站發電量 1,339萬度",2030年溫室氣體減少40%,低碳科技轉型之成本支出,18,,,,颱風
2021 年度環保預算為新台幣 4.6 億元,2030年單位產量能源耗用減少25%,氣候變遷相關商譽風險,16,,,,平均溫度上升
取得多項環保相關認證,2030年空氣污染排放總量減少35%,客戶行為改變,15,,,,暴雨
全台第一間廢棄物轉製能源的寶特瓶回收處理廠,2030年廢棄物減少30%,,14,,,,
,2030年提高再生能源裝置容量增加400%,,13,,,,
,2030年廢棄物減少30%,,12,,,,
,,,12,,,,
