E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI,實體風險
綠色採購比例為35.17%,2050淨零排放,低碳技術成本增加,20,B,No Data,BBB,極端氣候
在地採購比例為98.59%,2025年人均溫室氣體排放量每年減少2%,政策法規使能源成本增加,18,,,,全球暖化
減量136 萬張用紙,2025年用電量累積減少12%,永續發展名譽問題,16,,,,
多個大樓取得黃金級綠建築證書,2025年人均廢棄物量累積 減少12%,高碳排產業淘汰造成營運損失,15,,,,
新板金融大樓取得鑽石級綠建築證書,2025年用水量累積減少12%,,14,,,,
,,,13,,,,
,,,12,,,,
