E~達成,E~目標,轉型風險,重要度,CDP,SBTi,MSCI,實體風險
取得多項綠建築標章,,碳定價機制,20,No Data,No Data,No Data,颱風
"大樓加裝太陽能面板節省 15,782 元",,原物料成本上漲,18,,,,洪水
導入 PHILIPS LED 照明節能計畫 T5 燈具等,,能源價格上漲,16,,,,
採用 LOW-E 節能複層玻璃,,,15,,,,
,,,14,,,,
,,,13,,,,
,,,12,,,,
