E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI
100%達成 Green 2025 階段性目標, 2030單位晶圓面積溫室氣體排放量較 2010年減少 45%,溫室氣體排放量管制徵收碳費/碳稅,20,No Data,Well-below 2°C,A
"66,156 MWh 節電量",用水強度較2015 年減少24.8%,客戶要求低碳策略及企業聲譽衝擊,18,,,
91.7萬公噸 CO2e 減量,廢棄物產出強度較2015 年減少31.6%,綠能政策造成研發、投資及營運成本上升,16,,,
\>90% 廢棄物再利用率,含氟溫室氣體,基礎設施供應韌性的不確定性,15,,,
33 萬公噸新增節水量,排放強度減排量較2010年減少63%,暖化,14,,,
,,強颱與極端降雨,13,,,
,,乾旱,12,,,
