E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI,實體風險
"太陽能發電量為11,746.6 度",,客戶行為變化,20,No Data,No Data,No Data,颱風
多數建築取得綠建築標章,,消費者偏好轉變,18,,,,洪水
換裝88%LED燈管,,,16,,,,
三種產品得到碳足跡認證,,,15,,,,
,,,14,,,,
,,,13,,,,
,,,12,,,,
