E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI
2020年起導入TCFD框架,每年持續節電及減碳 1% ,制定能源管理相關法律與規範,20,C(2022),No Data,B
"減碳量8,086.17噸CO2e",,原物料成本提升,18,,,
2021年臺灣廠區節電率2.71%,,為維持廠內環境導致營運成本提升,16,,,
臺灣廠區廢水排放量下降0.42%,,營運據點電力短缺,15,,,
,,國際間低碳的法規法令,14,,,
,,颱風、水災,13,,,
,,,12,,,
