E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI,實體風險
"太陽光電裝置容量 4,506 kWp",2030 年較 2020 年減碳 50% 的目標,永續法規增加,20,B,No Data,AA,強颱、暴雨
連續兩年通過「TCFD 符合性查核」, 綠色供應鏈採購金額占整體採購比例超過 50%,碳價上升,18,,,,乾旱
同時取得ISO 14046 水足跡 / ISO 14067 碳足跡,"太陽光電系統建置容量超過 13,600 kWp",台灣能源結構變化,16,,,,海平面上升
,綠色產品及服務佔總營收 20%,,15,,,,
,,,14,,,,
,,,13,,,,
,,,12,,,,
