E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI,實體風險
參與 CDP國際碳揭露專案,實施年度節電率達1%以上,,20,C,No Data,BB,氣候異常所致水患與乾旱等風險
配合碳交易試點城市,設置契約容量百分之十以上之綠能、節能設備,,18,,,,
,以零廢棄為廢棄物管理最終目的,,16,,,,
,,,15,,,,
,,,14,,,,
,,,13,,,,
認養南崁溪上游的滯洪池,,,12,,,,
