E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI,實體風險
自建屋頂型太陽能電廠2021 年產電量約 19.4萬度,溫室氣體年減 2% 之目標,,20,F(2021)/C(2022),No Data,A,限水
"臺灣在地採購金額新台幣 >2,500億元",響應國內外綠色環保減碳倡議,,18,,,,限電
全棟大樓LED節能照明更換、電動汽車充電站設置,,,16,,,,停斷電
,,,15,,,,颱風 水災
,,,14,,,,
,,,13,,,,
,,,12,,,,
