E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI,實體風險
2008~2020年碳排放強度已減56.91%,2025年累計降低碳強度至60%,國內外碳排放法規漸趨嚴格,20,F,No Data,BB,極端天氣嚴重性增加
綠色採購較2019年多新台幣300萬,"持續於2,800TEU新造船隊智慧船舶(IT-OT-CT)系統建置",,18,,,,平均氣溫上升
獲得NOAA頒發護鯨銀獎,2025年約用25萬TEU的運量改用節能船型,,16,,,,
取得各船級協會的4 艘智慧標章認證(綠能化船舶),,,15,,,,
"建造 10 艘 2,800 TEU 級全貨櫃輪",,,14,,,,
,,,13,,,,
,,,12,,,,
