E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI,實體風險
相較2018年減碳19.2%,每年範疇一、二溫室氣體排放密集度較2018年（基準年）減少2%,,20,No Data,No Data,No Data,
較2020年減電8.72%,,,18,,,,
擴大溫室氣體盤查範圍與納入盤查邊界,,,16,,,,
"綠色採購金額達新台幣 1,488 萬元",,,15,,,,
出貨之新紙箱使用比例降至 24.26%，較 2020 年減少 5.91%,,,14,,,,
,,,13,,,,
,,,12,,,,
