E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI,實體風險
,,政策和法律法規使成本增加,20,No Data,No Data,No Data,洪水
,,低碳或節能技術,18,,,,均溫上升
2021 年約減少砍伐36.31 棵樹,,市場,16,,,,
2021 年舉辦淨山活動共清除32.7 公斤垃圾,,商譽,15,,,,
2019 年舉辦淨灘活動共清除35 公斤海洋垃圾,,,14,,,,
,,,13,,,,
,,,12,,,,
