E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI
2015~2021 年 平均年節電率達 1.45%,2027年前減碳量達 250t-CO2e,極端氣候,20,No Data,No Data,No Data
採購高效能 IE3 等級的節能馬達取代老舊的 IE1 馬達,2032年前減碳量達 100 t-CO2e,氣溫上升,18,,,
"2021 年紙張節約量高達 31,623 張",,,16,,,
台北總部種植 224 顆樹木,,,15,,,
,,,14,,,
,,,13,,,
,,,12,,,
