E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI,實體風險
 CDP氣候/水資源問卷獲A-/A,推動各廠「循環經濟」,碳費徵收,20,A-,Well-below 2°C,B,洪災淹水
"綠色採購12,752.7 萬元",,再生能源發展條例,18,,,,缺水
,,客戶要求減碳,16,,,,
,,公司信譽,15,,,,
,,,14,,,,
,,,13,,,,
,,,12,,,,
