E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI,實體風險
環保標章台數達 94%、節能標章台數達98%,2025年CO2下降18%,低碳產品與服務的需求,20,No Data,No Data,A,颱風
太陽能設備發電572萬度電,2030年CO2下降33%,產品效率法規與標準,18,,,,
100%通過Eco Dealership 評鑑,建立3R概念(電池),顧客偏好及行為改變,16,,,,
"近三年總節電金額為新台幣 604,415元",設定累進節水1%目標,,15,,,,
一車一樹活動，累計植樹55.6萬棵,,,14,,,,
,,,13,,,,
,,,12,,,,
