E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI
節能 85.1 萬 GJ,民國139年達成碳中和,碳費相關之新興法規,20,B,No Data,BBB
104~110年平均年節電率已達 1.76%,民國119年較107 年碳排放量減少 22%,低碳風氣造成的成本提高,18,,,
榮獲 109 年「經濟部節能標竿獎」最高榮譽金獎,民國104-119 年累計平均年節電率 >1.1%,客戶需求改變,16,,,
取得再生能源憑證共 3 張,民國115~119 年每年減量SOx957.6 公噸及NOx 67.5 公噸,颱風,15,,,
設置能源調度中心,民國119年耗用新水量將降低為 64.4%,洪水,14,,,
,,極端氣候引發缺水,13,,,
,,海平面上升,12,,,
