E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI
加入 SBTi,2030 年集團達成不升溫 1.5 度Ｃ要求,,20,No Data,1.5°C,No Data
用水量比2020年減少 25.4%,揭露節能減碳數據，促進永續經營,,18,,,
,持續節能技改專案，提昇節能減碳績效,,16,,,
,,,15,,,
,,,14,,,
,,,13,,,
,,,12,,,
