E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI
高耗能設備節能改善,每年節能 1%,強制性購買碳權,20,B,No Data,No Data
建構永續供應鏈管理機制,每年節水 1%,相關規費、稅額提升,18,,,
主動參與碳揭露專案 CDP,提交SBT承諾書,法規(再生能源及環境等)趨嚴,16,,,
,長期達到總部碳中和,客戶或利害關係人的相關要求,15,,,
,達成 SBT1.5℃,極端天氣氣候(龍捲風、颶風、內澇),14,,,
,,,13,,,
,,,12,,,
