E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI,實體風險
首度將 TCFD 風險情境與公司年度風險鑑別整合,2025年降低碳排放量累計達 650 萬噸 CO2e,台灣能源轉型之供電穩定因應，降低生產風險,20,A-,Well-below 2°C,A,氣候變遷
2021 年達成製程用水回收率提升至 94.5%,"2025年節約自來水量累計達100,000 CMD",能源價格波動與各國實行碳排減量管制，衝擊供應鏈成本,18,,,,
 將再生塑料延伸應用至筆電,2025年提升氣候調適韌性,客戶減碳 / 再生能源需求及國際倡議之因應,16,,,,
依循SBT路徑，逐年降低碳排放,,,15,,,,
,,,14,,,,
,,,13,,,,
,,,12,,,,
