E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI,實體風險
製程碳排十餘年來降低50%,,能源、溫室氣體排放法規要求,20,No Data,No Data,No Data,極端天氣
汽車碳排相較2007年降低45.5%,,低碳技術的不確定性,18,,,,平均氣溫上升
綠電比達40%,,客戶行為轉變與市場訊息不確定性,16,,,,海平面上升
廠房LED燈座省電2.2萬度,,營運所需之原物料成本上漲,15,,,,
14款車種有經濟部節能標章,,,14,,,,
,,,13,,,,
,,,12,,,,
