E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI,實體風險
溫室氣體總排放量減少13%(較前一年),單位營收溫室氣體排放量及單位營收用電量皆降低25%,溫室氣體減量與碳交易,20,C,No Data,B,能源來源及其供應穩定性
節能766萬度,汰換節能設備及導入節能措施,政府、客戶及利害相關者期望與規劃,18,,,,用電節約
廢棄物產出量較前一年度減少34%,建置再生能源發電裝置&購買再生能源,再生能源與新能源強制法規要求,16,,,,
無重大汙染事件,,,15,,,,
,,,14,,,,
,,,13,,,,
,,,12,,,,
