E~達成,E~目標,風險,重要度,CDP,SBTi,MSCI
2016 年至 2021 年降低總碳排放量 40.78%,2024年減少總碳排10%(2022基準),碳稅使成本增加,20,No Data,No Data,No Data
永續投資金額超越 497.4 億元,2024年節省3%的用水度數(2022基準),極端降雨,18,,,
,,,16,,,
,,,15,,,
,,,14,,,
,,,13,,,
,,,12,,,
